Регион;2017;2018;2019;2020;2021;2022
Российская Федеpация;6,6;6,2;6,5;7,8;6,4;5,2
Центральный федеральный округ;4;3,6;4,1;5,2;4,5;3,7
Белгородская область;4,6;4,6;5,3;6;4,8;4
Брянская область;5,9;4,9;5,2;5,5;5;4,6
Владимирская область;5,6;5,5;5,8;6,9;5,4;3,5
Воронежская область;5,7;4,7;5,5;6,4;5,2;5,1
Ивановская область;6,3;5,6;6,1;7,5;5,2;3,5
Калужская область;5,2;4,7;4,6;6;4,8;4,9
Костромская область;7,2;6,4;6,8;7,1;5,7;4,2
Курская область;4,8;4,8;5,2;6,7;5;3,5
Липецкая область;4,6;4,5;4,7;5,3;5,2;4,3
Московская область;3,7;3,2;3,9;5;4,6;3,8
Орловская область;9,2;7,9;9,5;8,7;6,7;5
Рязанская область;5,3;5,7;6,6;8,4;6,2;3,5
Смоленская область;7,3;6,7;8;7,9;6,8;4,8
Тамбовская область;4,9;4,6;5,8;6,3;6,2;4,5
Тверская область;6,4;5,7;6,5;7,1;6,4;6
Тульская область;4,9;4,4;5,3;6,1;4,1;3,6
Ярославская область;7,5;6,6;7;8,3;6,2;5,4
г. Москва;1,5;1,4;1,8;3,2;3;2,5
Северо-Западный федеральный округ;5,8;5,5;5,3;7;5,3;4,4
Республика Карелия;12,7;12,5;11,6;13,1;10;9,1
Республика Коми;11,9;10,9;9,6;11,5;9,7;9,3
Ненецкий автономный округ;10,5;10,5;11,5;12,8;10,1;10,3
Архангельская область;9,1;8,8;9,5;10,6;9,6;8
Вологодская область;7;7;7,5;8,1;6,4;4,8
Калининградская область;7,7;7;7,1;8,2;7,3;4,6
Ленинградская область;5,5;5,3;5,2;6,9;4,9;4,1
Мурманская область;8,9;9,6;8,1;10,8;7,6;6,6
Новгородская область;5,9;5,8;5,9;8,3;5,6;4,9
Псковская область;9,6;9,1;9,3;12,1;7,7;6,3
г. Санкт-Петербург;2;1,8;1,7;3,6;2,5;2,1
Южный федеральный округ;7,4;6,9;7,1;8;6,7;5,2
Республика Адыгея (Адыгея);9,7;9,3;10,2;10,7;10,1;8,1
Республика Калмыкия;11,7;11,7;12,9;12,2;11,7;8,9
Республика Крым;6,6;6,1;6,1;6,7;6,1;5,5
Краснодарский край;6,8;6,3;6,3;7,3;6,4;4,7
Астраханская область;9,3;9,1;10,7;10,4;9,5;7,9
Волгоградская область;8,8;7,3;8,3;9,7;7,2;4,8
Ростовская область;6,9;6,7;6,6;7,4;5,8;4,9
г. Севастополь;5,3;5;5,9;6,6;5,1;4,9
Северо-Кавказский федеральный округ;12,9;12,9;14,4;18,1;16;12,8
Республика Дагестан;15,9;15,4;18,8;24,5;23;17,7
Республика Ингушетия;26,5;26,4;26,5;29,9;31,1;28,7
Кабардино-Балкарская Республика;11,6;11,6;12;15,4;12,3;10,1
Карачаево-Черкесская Республика;14,7;13,8;15,6;18,9;14,8;11,4
Республика Северная Осетия-Алания;13,8;12;16,8;23;20;14,9
Чеченская Республика;15,3;17,9;16,1;20,2;15;12,1
Ставропольский край;6;5,7;6,6;8,1;6,5;5,3
Приволжский федеральный округ;6;5,7;6,1;7;5,3;4,4
Республика Башкортостан;7,5;7;7,3;8,7;6,2;4,7
Республика Марий Эл;7,7;6,8;7,3;10,1;7,3;5,5
Республика Мордовия;5,5;5,3;5,7;7,5;5,2;4,6
Республика Татарстан;3,8;3,7;3,9;4,3;3,3;3,2
Удмуртская Республика;6,8;6,8;6,4;7,3;5,9;4,4
Чувашская Республика;6,7;6,9;7,4;8,2;6,1;5,4
Пермский край;7,6;6,8;7,8;8,3;5,8;4,6
Кировская область;6,8;5,7;5,3;5,7;5;4
Нижегородская область;5,6;5,2;5,3;5,7;5,2;4,8
Оренбургская область;6;6;7,6;8,9;6,4;4,8
Пензенская область;6,5;6;6,4;7,6;6,1;5,7
Самарская область;5;4,6;5,3;6;4,3;3,6
Саратовская область;6,3;6,6;6,3;7,4;5,5;3,8
Ульяновская область;5,1;4,2;5,7;6,8;5,8;5,1
Уральский федеральный округ;6,7;6;6;7,3;5,4;4,6
Курганская область;12;12,3;13;11,6;10,5;8,9
Свердловская область;7,1;6,6;6,4;8,3;5,7;5,2
Ханты-Мансийский автономный округ - Югра;3,8;2,9;3,1;3,9;3;2,3
Ямало-Ненецкий автономный округ;4,6;3,1;2,5;3,5;3,3;2,6
Тюменская область;5,7;5,4;6,6;7;5,6;5,1
Челябинская область;7,3;6,2;5,9;7,6;5,6;4,1
Сибирский федеральный округ;9,2;8,6;8,6;10,2;8,1;6,6
Республика Алтай;17,1;15,3;17,2;17,1;15,2;13,9
Республика Тыва;25,4;20,7;19,7;24,6;20,6;16,3
Республика Хакасия;7,9;8,3;10,3;12,5;9,6;7,1
Алтайский край;9,4;8,7;8,8;9,2;8,7;5,7
Красноярский край;6,8;6,1;6,1;8,2;5,3;4,8
Иркутская область;11,4;9,8;9,6;11,7;8,9;8,4
Кемеровская область;8,8;8,4;7,9;9,7;7,5;6
Новосибирская область;7,9;8,2;8,2;8,9;7,8;6,4
Омская область;9,5;8,4;9,5;10,9;8;6,2
Томская область;9,3;9,8;8,2;12;9,2;7,2
Дальневосточный федеральный округ;8,9;8,3;9,3;9,4;7,8;6,9
Республика Бурятия;15,1;13,3;14,9;16;13;11,5
Республика Саха (Якутия);9,5;8,5;10,2;10,5;8,9;8,3
Забайкальский край;13,1;12,3;12;12,8;11,4;11,3
Камчатский край;5,7;6;5,6;6,5;5,1;4,4
Приморский край;6,8;7;8,5;8,1;6,4;5,3
Хабаровский край;6;5,1;6,5;5,4;4,7;3,6
Амурская область;8,5;7,9;8,4;8,8;7,5;6,2
Магаданская область;7,7;8,9;6,5;6,8;5,8;5,8
Сахалинская область;7,6;6,7;7,3;8,2;6,7;5,7
Еврейская автономная область;13,6;13,5;13,2;11,9;10,4;8,5
Чукотский автономный округ;4;3,8;4,4;5,4;2,8;1,9
