Регион;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Российская Федерация;104,8;95,9;103,2;103,3;103,8;102,1;100,8;98,7;100,1;102,1;103,1;102,4;99,6;103,7;96,4
Белгородская область;111,3;102,1;110,0;107,7;103,5;103,6;102,4;106,0;102,3;103,1;102,8;102,2;101,1;101,8;
Брянская область;105,9;95,3;105,3;107,6;108,0;103,4;105,6;104,1;101,4;105,6;104,9;105,0;104,2;101,1;
Владимирская область;101,0;95,6;106,4;102,2;102,7;101,7;100,6;99,4;102,6;101,4;100,8;104,0;104,8;115,0;
Воронежская область;107,6;98,2;101,7;111,4;109,1;102,4;106,3;101,0;101,4;102,4;102,7;102,0;98,2;101,4;
Ивановская область;99,7;97,7;100,6;98,8;97,2;109,4;91,1;103,9;98,4;97,4;102,3;102,5;105,7;98,3;
Калужская область;116,7;95,2;111,4;113,2;110,3;97,7;103,5;97,8;101,7;107,5;102,9;104,0;100,3;104,9;
Костромская область;104,0;94,3;105,0;105,7;104,8;104,5;104,9;100,9;98,3;103,8;101,3;102,8;99,5;104,2;
Курская область;103,0;98,5;102,0;107,0;107,2;103,9;105,1;103,4;103,3;102,5;104,3;103,4;106,2;101,7;
Липецкая область;103,1;95,0;104,0;104,9;102,3;104,0;105,5;101,4;101,5;101,3;101,9;97,7;103,5;103,8;
Московская область;106,0;96,7;107,2;109,7;104,5;102,3;97,7;106,2;101,5;100,7;102,6;104,1;99,3;109,3;
Орловская область;106,1;90,8;104,9;112,4;103,4;102,6;102,4;104,6;99,7;101,2;102,6;108,0;101,7;100,0;
Рязанская область;104,0;97,1;103,9;107,4;104,8;103,0;101,5;98,5;98,8;99,3;102,8;102,5;105,9;101,7;
Смоленская область;107,8;96,5;106,3;104,8;106,0;104,4;102,1;100,4;100,4;104,3;106,2;103,9;101,6;101,7;
Тамбовская область;105,5;101,0;96,7;111,9;108,8;110,1;107,9;112,1;96,8;102,3;103,9;98,1;100,9;97,8;
Тверская область;107,4;93,3;104,7;105,8;102,0;102,5;99,8;99,6;104,0;101,0;104,1;99,4;98,5;103,6;
Тульская область;106,5;97,4;100,0;103,8;103,0;105,5;107,8;107,0;105,0;103,5;103,9;101,5;103,8;104,6;
Ярославская область;101,2;94,0;104,5;107,2;104,5;103,7;102,9;100,4;101,8;102,4;102,9;101,8;103,4;101,9;
г. Москва;105,3;93,2;101,2;99,4;100,9;99,1;98,3;97,6;100,0;101,4;101,9;100,9;102,5;109,6;
Республика Карелия;96,4;91,5;104,9;106,8;104,3;103,2;103,4;102,7;100,1;103,1;102,1;100,9;102,0;100,4;
Республика Коми;103,4;100,4;103,0;105,8;103,0;98,9;98,8;101,2;100,6;99,6;100,0;102,7;97,5;102,9;
Ненецкий автономный округ;86,0;126,5;97,7;88,3;93,9;98,6;103,9;109,7;108,8;99,2;94,3;100,7;86,2;112,7;
Архангельская область;;;;110,9;105,6;103,3;102,1;101,2;100,1;106,0;105,5;104,3;100,4;102,0;
Вологодская область;97,1;89,9;105,0;107,2;106,0;97,3;103,4;101,6;99,2;102,7;104,3;101,5;98,3;104,2;
Калининградская область;104,2;94,7;106,5;102,6;108,0;100,4;103,8;98,3;102,2;101,6;103,3;101,1;100,6;106,0;
