Регион;2016;2017;2018;2019;2020;2021;2022
Российская Федерация;74 120 174,80;79 745 093,90;90 202 901,50;95 060 662,30;94 410 215,30;122 199 665,20;140 670 816,50
Центральный федеральный округ;25 995 587,50;27 915 455,00;31 191 756,50;33 139 758,10;34 167 817,70;41 592 339,00;47 367 524,50
Белгородская область;778 027,80;837 306,80;911 597,90;955 329,20;997 330,90;1 359 965,60;1 311 232,60
Брянская область;316 489,40;341 177,80;367 157,10;399 113,80;414 179,40;482 669,40;549 347,10
Владимирская область;431 549,80;449 849,20;480 027,80;535 493,40;553 092,40;730 328,80;780 490,40
Воронежская область;827 928,60;873 429,40;951 292,30;1 001 790,30;1 062 765,40;1 273 851,90;1 377 736,50
Ивановская область;205 818,60;212 464,70;232 493,60;254 968,90;269 508,80;308 392,20;364 016,50
Калужская область;409 462,30;457 052,50;507 632,20;549 755,80;561 895,80;671 155,50;693 947,60
Костромская область;170 225,10;178 485,60;191 812,90;203 821,40;204 114,10;247 508,00;276 043,90
Курская область;379 011,30;404 759,80;451 000,50;495 864,40;523 000,50;688 469,10;665 472,50
Липецкая область;501 263,50;522 266,20;604 396,20;570 022,90;618 273,10;853 038,40;792 823,20
Московская область;4 206 506,00;4 290 261,20;4 644 635,00;5 196 136,40;5 406 076,50;6 809 951,10;7 720 842,60
Орловская область;228 583,10;231 118,40;247 105,50;266 655,60;282 883,70;338 266,10;369 901,20
Рязанская область;366 211,30;395 276,90;416 183,20;436 417,70;461 214,60;544 053,60;619 185,00
Смоленская область;283 725,50;313 615,80;335 059,90;349 237,60;365 048,10;428 827,50;483 299,80
Тамбовская область;320 623,40;320 572,40;352 202,60;353 745,50;376 258,70;442 996,90;473 768,70
Тверская область;397 438,90;420 671,50;471 065,50;488 367,50;486 599,10;564 548,50;629 399,00
Тульская область;552 308,40;594 407,60;666 763,00;676 822,60;713 110,40;887 541,10;1 004 283,20
Ярославская область;498 880,30;534 549,70;583 605,30;609 150,80;611 748,50;695 015,40;748 305,60
г.Москва;15 121 534,20;16 538 189,50;18 777 726,00;19 797 064,30;20 260 717,70;24 265 759,90;28 507 429,10
Северо-Западный федеральный округ;8 399 737,40;8 814 880,80;9 865 793,30;10 577 620,10;10 742 733,50;16 682 107,00;18 928 860,60
Республика Карелия;248 140,40;270 802,50;300 977,10;319 050,00;322 803,60;447 564,10;391 410,50
Республика Коми;578 649,10;608 574,50;696 242,20;718 138,70;613 266,90;869 995,80;975 700,70
Ненецкий авт. округ;261 772,50;265 790,90;320 405,70;330 999,00;230 674,30;409 388,30;488 014,40
Архангельская область;451 271,40;493 415,60;545 317,60;558 975,40;551 144,70;671 106,70;700 172,70
Вологодская область;509 931,70;542 663,40;615 647,70;632 759,50;624 437,10;1 026 496,50;1 024 197,00
Калининградская область;417 094,90;446 677,60;493 302,40;520 951,20;549 311,20;683 811,60;738 007,60
Ленинградская область;953 668,30;1 002 543,30;1 147 644,40;1 223 679,60;1 238 641,30;1 473 287,10;1 657 842,60
Мурманская область;467 006,50;479 352,80;521 051,50;616 504,10;798 450,10;1 106 607,70;1 148 670,70
Новгородская область;253 056,80;256 165,80;259 255,80;273 808,00;279 689,30;345 664,30;380 629,90
Псковская область;159 206,10;165 858,10;180 730,30;196 625,30;201 756,70;227 739,70;257 770,80
г.Санкт-Петербург;4 099 939,70;4 283 036,30;4 785 218,60;5 186 129,30;5 332 558,30;9 420 445,30;11 166 443,70
Южный федеральный округ;5 448 896,20;5 833 454,20;6 320 333,00;6 611 731,60;6 783 875,10;8 131 122,20;9 815 610,90
Республика Адыгея;101 102,70;109 714,50;119 961,80;131 125,80;142 913,50;171 386,10;197 082,00
Республика Калмыкия;69 564,20;80 126,90;86 107,10;88 986,90;94 025,90;102 377,20;118 961,60
Республика Крым;362 671,70;384 983,40;437 438,00;475 525,30;517 147,30;614 282,90;655 921,30
Краснодарский край;2 257 074,50;2 422 752,70;2 499 915,50;2 577 131,10;2 667 228,20;3 280 988,80;4 304 028,30
Астраханская область;368 485,40;442 608,80;579 210,00;601 811,20;527 290,20;663 770,60;765 239,30
