Регион;2017;2018;2019;2020;2021;2022
Российская Федерация;37,9;37,9;38,3;37,3;36,4;36,1
Центральный федеральный округ;28,7;29,0;29,6;28,2;26,6;26,2
Белгородская область;42,8;40,6;41,4;40,8;40,5;40,7
Брянская область;32,1;32,6;34,6;34,5;34,3;34,0
Владимирская область;31,4;31,4;31,3;32,1;31,7;32,2
Воронежская область;30,6;31,1;32,2;31,4;30,2;29,6
Ивановская область;33,1;31,0;32,3;31,7;31,0;28,2
Калужская область;39,4;37,5;37,4;37,1;35,7;33,9
Костромская область;35,9;36,8;39,2;39,5;39,3;35,2
Курская область;38,6;36,1;37,2;36,0;36,0;36,4
Липецкая область;40,5;40,4;40,2;41,2;39,4;39,8
Московская область;22,6;26,2;24,7;24,8;22,9;23,3
Орловская область;23,8;23,0;22,5;23,2;23,9;23,3
Рязанская область;25,1;25,0;24,1;23,2;22,7;22,3
Смоленская область;33,5;34,6;34,2;35,3;33,5;33,7
Тамбовская область;29,4;32,5;32,5;33,2;32,6;32,4
Тверская область;28,4;29,2;28,8;28,3;28,4;28,8
Тульская область;27,0;26,4;26,0;27,1;27,7;28,3
Ярославская область;37,3;35,9;35,9;35,8;35,5;36,2
г. Москва ;22,1;21,9;24,1;20,5;18,6;17,8
Северо-Западный федеральный округ;38,2;38,1;37,9;37,3;36,7;36,2
Республика Карелия;47,6;47,4;46,2;46,6;46,1;45,5
Республика Коми;45,2;43,4;42,9;43,9;43,3;42,1
Ненецкий авт. округ;48,3;53,6;51,7;51,4;47,1;48,5
Архангельская область;52,6;55,2;56,3;55,6;55,6;55,7
Вологодская область;53,0;48,7;52,0;50,1;48,1;47,8
Калининградская область;42,2;41,6;42,2;41,7;40,4;40,3
Ленинградская область;38,9;40,6;40,6;37,7;37,5;35,0
Мурманская область;53,6;53,7;50,6;48,8;48,4;50,4
Новгородская область;40,6;42,5;41,8;41,2;40,1;39,8
Псковская область;29,6;29,7;31,2;30,4;29,5;28,9
г. Санкт-Петербург;25,3;25,0;24,5;24,7;24,7;24,6
Южный федеральный округ;33,3;33,5;34,2;33,2;32,5;32,9
Республика Адыгея (Адыгея);18,2;19,3;18,7;18,8;18,4;19,2
