Регион;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Российская Федерация;45,3;45,3;47,1;47,9;47,7;48,2;49,4;47,7;48,1;47,3;46,6;37,8;39;40,5;40,5
Центральный федеральный округ;39,8;40;43,8;44,9;44,4;45,6;46,9;43,7;43,5;41,1;39,4;30,5;31,6;32,7;32,3
Белгородская область;37,8;38,1;38,2;38,5;40,3;42,5;43,5;44;44,4;43,9;44,5;32,5;33,2;34,4;34,8
Брянская область;49,9;50,3;50,4;49,2;49,3;49,3;49,5;49,9;47,8;48,2;48,6;35,7;37;38,8;40
Владимирская область;41;42,1;42,3;44,3;44,6;45,4;42;43,8;43,8;42;45,1;38,2;39,2;40,6;41,5
Воронежская область;47,3;46,1;47,5;46,2;47,2;47,1;45,4;44,8;44,8;39,1;40,3;31,4;31,3;32,7;34,1
Ивановская область;48,1;49,7;50,2;67,5;44,6;46,4;50,4;49,9;52,9;52,8;52,6;36,8;37,7;39,3;39,7
Калужская область;47,2;44,5;42,1;43;43,9;42,1;40,9;40,7;42,2;42,8;43,6;33,9;34,7;36,3;38,4
Костромская область;51,8;53,1;54,8;56,2;57,5;58,5;59,3;58,9;59,2;53,1;54;48,9;49,2;49,9;50
Курская область;53,2;53,1;53,8;53,2;53;52,5;54,4;52;51,4;48,9;50,4;33,9;35,7;37,8;35,6
Липецкая область;50,5;51,8;52,9;52,6;52,5;49,7;48,4;49,8;50,3;49,3;50;46,1;46,8;47,4;48,7
Московская область;40,5;41,4;42,2;43,8;44;45,2;46,4;40,9;42,2;37,8;38,9;24,1;25,9;28,3;29,6
Орловская область;45,3;46,6;47;49,2;46,9;47,5;49,9;50,6;50,2;50,2;48,6;35,7;36,6;36,6;38,2
Рязанская область;48,5;50,2;52,3;51,1;50;49;52,5;51,2;52,9;54,1;54,3;40,8;41,7;44,5;45,1
Смоленская область;50,8;52,4;52,6;52,2;50,2;51,3;52,7;51;51,2;51,8;52,2;51,2;47,1;48,6;47,3
Тамбовская область;48,1;48,7;50,1;50;49,4;48,2;49,8;50,1;50,7;49,4;48,6;43,7;44,6;46;44,4
Тверская область;47,2;47;47,4;50,9;48,4;49,9;46,3;49,7;47,8;47,8;47,6;44,8;44,6;47,3;49
